id:,name,englishName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,massValue,massExponent,volValue,volExponent,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,aroundPlanet,discoveredBy,discoveryDate,alternativeName,axialTilt,avgTemp,mainAnomaly,argPeriapsis,longAscNode
s2017j3,S/2017 J 3,S/2017 J 3,FALSE,20694000,0,0,0.148,147.9,2.4,16,0,1,1,0,0,1,0,0,0,,606,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 3,0,0,0,0,0
pandia,Pandia,Pandia,FALSE,11525000,0,0,0.18,28.2,2.4,16,0,1,1,0,0,1.5,0,0,0,,252,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 4,0,0,0,0,0
s2017j5,S/2017 J 5,S/2017 J 5,FALSE,23232000,0,0,0.284,164.3,2.4,16,0,1,1,0,0,1,0,0,0,,719,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 5,0,0,0,0,0
s2017j6,S/2017 J 6,S/2017 J 6,FALSE,22455000,0,0,0.557,155.2,2.4,16,0,1,1,0,0,1,0,0,0,,683,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 6,0,0,0,0,0
s2017j7,S/2017 J 7,S/2017 J 7,FALSE,20627000,0,0,0.215,143.4,2.4,16,0,1,1,0,0,1,0,0,0,,603,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 7,0,0,0,0,0
s2017j8,S/2017 J 8,S/2017 J 8,FALSE,23233000,0,0,0.312,164.7,2.4,16,0,1,1,0,0,0.5,0,0,0,,720,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 8,0,0,0,0,0
s2017j9,S/2017 J 9,S/2017 J 9,FALSE,21487000,0,0,0.229,152.7,2.4,16,0,1,1,0,0,1.5,0,0,0,,639,0,jupiter,Scott Sheppard,17/07/2018,S/2017 J 9,0,0,0,0,0
ersa,Ersa,Ersa,FALSE,11483000,0,0,0.094,30.6,2.4,16,0,1,1,0,0,1.5,0,0,0,,252,0,jupiter,Scott Sheppard,17/07/2018,S/2018 J 1,0,0,0,0,0
arrokoth,(486958) Arrokoth,Arrokoth,FALSE,6633400000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,TÃ©lescope spatial Hubble,26/06/2014,2014 MU 69,0,0,0,0,0
benou,(101955) BÃ©nou,101955 Bennu,FALSE,168400000,0,0,0,0,2.4,16,0,1,1,0,0,33,0,0,0,39Ã—37Ã—25,2.74,0,null,LINEAR,11/09/1999,1999 RQ36,0,0,0,0,0
s2004s22,S/2004 S 22,S/2004 S 22,FALSE,20379900,0,0,0.257,177.4,0,1,0,1,0,0,0,1.5,0,0,0,,0,0,saturne,S. Sheppard,2004,S/2004 S 22,0,0,0,0,0
s2004s21,S/2004 S 21,S/2004 S 21,FALSE,23810400,0,0,0.312,154.6,0,1,0,1,0,0,0,1.5,0,0,0,,0,0,saturne,S. Sheppard,2004,S/2004 S 21,0,0,0,0,0
s2004s20,S/2004 S 20,S/2004 S 20,FALSE,19211000,0,0,0.204,163.1,0,1,0,1,0,0,0,2,0,0,0,,0,0,saturne,S. Sheppard,2004,S/2004 S 20,0,0,0,0,0
s2004s23,S/2004 S 23,S/2004 S 23,FALSE,21427000,0,0,0.399,177.7,0,1,0,1,0,0,0,2,0,0,0,,0,0,saturne,S. Sheppard,2004,S/2004 S 23,0,0,0,0,0
s2004s24,S/2004 S 24,S/2004 S 24,FALSE,23231300,0,0,0.049,36.78,0,1,0,1,0,0,0,1.5,0,0,0,,1317.6,0,saturne,S. Sheppard,2004,S/2004 S 24,0,0,0,0,0
s2004s25,S/2004 S 25,S/2004 S 25,FALSE,20544500,0,0,0.457,173.3,0,1,0,1,0,0,0,1.5,0,0,0,,0,0,saturne,S. Sheppard,2004,S/2004 S 25,0,0,0,0,0
